id,type,title,director,cast,country,date_added,release_year,rating,duration_int,duration_type,listed_in,description,score
ds145,Movie,Garfield,Peter Hewitt,"Breckin Meyer, Jennifer Love Hewitt, Stephen Tobolowsky, Bill Murray, Evan Arnold, Mark Lawrence",United States,2021-07-30,2004,PG,82,min,"Comedy, Family","garfield lures odie out of the house but once he's lost, garfield springs into action to save him.",47
ds146,TV Show,Chip 'n' Dale: Park Life,,"Matthew Géczy, Kaycie Chase, Bill Farmer, Sylvain Caruso",,2021-07-28,2021,TV-Y7,1,Season,"Animation, Buddy, Comedy",two tiny chipmunks have huge adventures while trying to live the good life in a big city park.,51
ds147,TV Show,Critter Fixers: Country Vets,,Sullivan Jones,United States,2021-07-28,2020,TV-14,2,Season,"Animals & Nature, Docuseries, Family",dr. hodges and dr. ferguson own and operate a bustling veterinary clinic.,97
ds148,TV Show,Disney Junior T.O.T.S.,,"Vanessa Williams, Megan Hilty, Jet Jurgensmeyer, Christian Simon",United States,2021-07-28,2018,TV-Y,2,Season,"Animation, Buddy, Kids",pip and freddy are new junior fliers at t.o.t.s.!,47
ds149,TV Show,Mickey Mouse Funhouse,,"Bret Iwan, Kaitlyn Robrock, Bill Farmer, Tony Anselmo, Tress MacNeille, Harvey Guillén",United States,2021-07-28,2021,TV-Y,1,Season,"Animation, Kids",mickey mouse funhouse is filled with silly adventure!,45
ds150,TV Show,Minnie's Bow-Toons: Party Palace Pals,,"Tress MacNeille, Nika Futterman, Kaitlyn Robrock",,2021-07-28,2021,TV-Y7,1,Season,"Animation, Kids",minnie and daisy open a party planning business!,68
ds151,TV Show,Turning the Tables with Robin Roberts,,Robin Roberts,,2021-07-28,2021,TV-PG,1,Season,Talk Show,robin roberts sits down with iconic hollywood women for intimate & inspirational conversations.,100
ds152,Movie,Ice Age: The Meltdown,Carlos Saldanha,"Ray Romano, John Leguizamo, Denis Leary, Seann William Scott, Josh Peck, Queen Latifah","United States, United Kingdom, Australia",2021-07-23,2006,PG,94,min,"Animation, Comedy, Family","manny, sid, diego and scrat join forces with new friends to save the valley from an epic flood.",40
ds153,Movie,Playing with Sharks,,"Valerie Taylor, Dr. Sylvia Earle, Jeremiah Sullivan, Wendy Benchley, Jean Michel Cousteau, Michele Hall",,2021-07-23,2021,TV-14,91,min,"Animals & Nature, Biographical, Documentary","""playing with sharks"" captures the life of conservationist valerie taylor.",52
ds154,Movie,Shark vs. Surfer,Phil Stebbing,Billy Lloyd,,2021-07-23,2020,TV-14,44,min,"Animals & Nature, Documentary",shark vs. surfer visits shark-infested surf spots to relive the harrowing encounters.,13
ds155,Movie,Shark vs. Whale,,Ted Stewart,,2021-07-23,2020,TV-PG,44,min,"Animals & Nature, Documentary",marine biologist ryan johnson discovers rare behavior of a whale attacking a great white.,39
ds156,Movie,Stuntman,Kurt Mattila,Eddie Braun,,2021-07-23,2021,TV-14,87,min,Documentary,stuntman eddie braun attempts to complete evel knievel's legendary snake river canyon rocket jump.,35
ds157,Movie,Walking with Dinosaurs: The Movie,"Barry Cook, Neil Nightingale","John Leguizamo, Justin Long, Tiya Sircar, Skyler Stone, Angourie Rice, Charlie Rowe",,2021-07-23,2013,PG,88,min,"Action-Adventure, Family, Fantasy",a young dinosaur named patchi must find his courage to lead the herd.,39
ds158,Movie,What the Shark?,,Robert Davi,,2021-07-23,2020,TV-PG,44,min,"Animals & Nature, Documentary",what the shark? dives deep into the environments where adaptation is critical to survival.,50
ds159,TV Show,Behind the Attraction,,Paget Brewster,,2021-07-21,2021,TV-PG,1,Season,"Docuseries, Family",behind the attraction takes you on a wild ride behind disney parks' most iconic attractions!,92
ds160,TV Show,Disney The Owl House,,"Sarah-Nicole Robles, Wendie Malick, Alex Hirsch, Tati Gabrielle, Issac Brown, Mae Whitman","United States, United Kingdom",2021-07-21,2020,TV-Y7,2,Season,"Action-Adventure, Animation, Anime",luz stumbles upon a portal to a magical new world.,56
ds161,TV Show,Meet Spidey and His Amazing Friends (Shorts),,"Ben Valic, Melanie Minichino",,2021-07-21,2021,TV-Y,1,Season,"Action-Adventure, Animation, Kids",meet the friends that help spidey save the day!,55
ds162,TV Show,Mission Force One,,"Justin Felbinger, Fiona Bishop, Ivy Bishop, Issac Ryan Brown, Sam Lavagnino, Dee Bradley Baker",,2021-07-21,2017,TV-Y,1,Season,"Action-Adventure, Animation, Kids",five kids form an elite team to protect the universe!,2
ds163,TV Show,Turner & Hooch,,"Josh Peck, Carra Patterson, Lyndsy Fonseca, Vanessa Lengies, Brandon Jay Mclaren, Anthony Ruivivar",,2021-07-21,2021,TV-PG,1,Season,"Action-Adventure, Buddy, Comedy",a deputy marshal inherits an unruly dog who helps him solve crimes and investigate a family mystery.,61
ds164,Movie,Most Wanted Sharks,,,,2021-07-16,2020,TV-PG,44,min,"Animals & Nature, Documentary","in most wanted sharks, jeremiah sullivan dives into the stories of shark all-stars.",1
ds165,Movie,Secrets of the Bull Shark,,Keston John,,2021-07-16,2020,TV-14,44,min,"Animals & Nature, Documentary",secrets of the bull shark unravels the mystery of some of the most dangerous predators.,37
ds166,TV Show,Shark Attack Files,,,,2021-07-16,2021,TV-14,1,Season,"Animals & Nature, Docuseries, Reality",learn the truth behind the most dramatic shark attacks of our time.,17
ds167,Movie,Shark Attack Investigation: The Paige Winter Story,,,,2021-07-16,2021,TV-14,44,min,"Animals & Nature, Documentary",a teen survives facing one of the ocean’s deadliest predators.,50
ds168,Movie,Sharkcano,Andy Seestedt,Dan Nachtrab,,2021-07-16,2020,TV-PG,44,min,"Animals & Nature, Documentary",dr. michael heithaus sets out to reveal the connection between sharks and volcanoes.,35
ds169,Movie,We Bought a Zoo,Cameron Crowe,"Matt Damon, Scarlett Johansson, Thomas Haden Church, Patrick Fugit, Colin Ford, Elle Fanning",United States,2021-07-16,2011,PG,125,min,"Animals & Nature, Drama, Family",a single dad tries to give his family a fresh start by moving to a home in the middle of a zoo.,66
ds170,Movie,World's Biggest Bullshark,,Jason Hildebrandt,,2021-07-16,2021,TV-PG,44,min,"Animals & Nature, Documentary","how one of the largest bull sharks ever caught, grew to become a giant.",20
ds171,Movie,World's Most Dangerous Shark?,Kevin Bachar,Brain Cade,,2021-07-16,2021,TV-14,44,min,"Animals & Nature, Documentary",are oceanic white tips the most dangerous of all the sharks?,37
ds172,TV Show,So Random!,,"Tiffany Thornton, Sterling Knight, Brandon Mychal Smith, Doug Brochu, Allisyn Ashley Arm",United States,2021-07-14,2011,TV-G,1,Season,"Comedy, Coming of Age",a musical sketch comedy show.,56
ds173,Movie,Flicka,Michael Mayer,"Alison Lohman, Tim McGraw, Maria Bello, Ryan Kwanten, Danny Pino, Dallas Roberts","United States, United Kingdom",2021-07-09,2006,PG,95,min,"Animals & Nature, Coming of Age, Drama",a 14-year-old girl befriends a wild filly and tries to rescue the horse from a rodeo entrepreneur.,25
