id,type,title,director,cast,country,date_added,release_year,rating,duration_int,duration_type,listed_in,description,score
as537,Movie,The Miracle Maker,"Stanislav Sokolov, Derek W. Hayes","Ralph Fiennes, Michael Bryant, Julie Christie",,,2000,ALL,87,min,"Animation, Drama, Faith and Spirituality","starting with his birth in nazareth, jesus goes on to meet and inspire his apostles, perform various miracles and reveal his teachings. his baptism by john the baptist (richard e. grant) is shown, as well as his meeting with mary magdalene. christ must eventually face the betrayal of judas, and succumb to herod's vendetta against him.",97
as538,Movie,The Mine Adventure With Shawn the Train and Team - In Search of Crystals and Friendship,,,,,2017,ALL,11,min,Kids,"shawn the train and his friend speedy go to an abandoned mine to search for glowing crystals. during their adventure they meet a new friend, gus, and discover that there are more important things in life than gems and stones.",43
as539,TV Show,The Mill,,"Kerrie Hayes, Ciaran Griffiths, Barbara Marten, Matthew McNulty, Holly Lucas, Katherine Rose Morley, Sascha Parkinson, Connor Dempsey, Hugh Simon, Sope Dirisu, Aidan McArdle",,,2014,13+,2,Season,"Drama, Historical",it is 1838 and whilst john and daniel celebrate the reprieve of the tolpuddle martyrs the new poor law drives economic migrants from southern england to the mill .,17
as540,Movie,The Milky Way,Mark Knight,,,,2020,ALL,60,min,Special Interest,"explore the breath-taking beauty of the night sky and the bright milky way, named to reflect the galaxy's appearance from earth. this hazy band of light seen in the night sky contains between 100 and 400 billion stars and a least that many planets. the accompanying binaural beat sound bed helps reduce stress and lowers inflammation in your body resulting in a happier, healthier you.",75
as541,TV Show,The Menendez Murders: Erik Tells All,,,,,2017,TV-14,1,Season,"Documentary, Special Interest","for the first time in over a decade, erik menendez opens up with his most in-depth interview to date in ""the menendez murders: erik tells all.""",24
as542,TV Show,The Men Who Built America,,"Matt Boliek, John C. Bailey",,,2014,TV-PG,1,Season,"Documentary, Special Interest","discover the accomplishments of john d. rockefeller, andrew carnegie, and other titans of industry in this engrossing documentary series with a difference. commentary from present-day business superstars offer insightful modern perspectives on each man's life and times, all revealed through a seamless blend of movie-quality reenactments and fascinating archival material.",73
as543,TV Show,The Marvelous Mrs. Maisel,,"Rachel Brosnahan, Alex Borstein, Michael Zegen, Marin Hinkle, Kevin Pollak, Caroline Aaron, Jane Lynch, Tony Shalhoub",United States,,2019,16+,3,Season,"Comedy, Drama","midge and susie discover that life on tour with shy is glamorous but humbling, and they learn a lesson about show business they’ll never forget. joel struggles to support midge while pursuing his own dreams. abe embraces a new mission and rose learns she has talents of her own.",51
as544,Movie,The Marksman,Marcus Adams,"Wesley Snipes, William Hope, Emma Samms, Anthony Warren, Peter Youngblood Hills, Vlad Ivanov",,,2005,R,95,min,Action,chechen rebels take over a russian nuclear plant and it's up to a mysterious agent (snipes) to stop them.,31
as545,Movie,The Mandela Effect,David Guy Levy,"Charlie Hofheimer, Aleksa Palladino, Robin Lord Taylor, Madeleine McGraw, Clarke Peters",,,2019,13+,80,min,"Drama, Science Fiction","a man becomes obsessed with facts and events that have been collectively misremembered by thousands of people. believing the phenomena to be the symptom of something larger, his obsession eventually leads him to question reality itself.",42
as546,Movie,The Man Who Knew Bush,Marc Berlin,,,,2011,G,74,min,"Comedy, Documentary, Special Interest","the privileged life of george w. bush, the 43rd president, told by a distant relative.",83
as547,TV Show,The Man In the High Castle,,"Alexa Davalos, Joel de la Fuente, Jason O’Mara, Brennan Brown, Chelah Horsdal, Frances Turner, Rufus Sewell","United States, United Kingdom, Canada",,2019,18+,4,Season,"Action, Drama, Historical","in the climactic final season, america will witness rebellion on both coasts as juliana and wyatt join forces with an emerging black insurgency led by bell mallory. takeshi kido will be forced to reckon with the demons of his past, and john and helen smith’s lives will be forever changed after smith steps through the die nebenwelt portal and travels the path not taken.",79
as548,Movie,The Man From Utah,Robert N. Bradbury,"John Wayne, George ""Gabby"" Hayes, Polly Ann Young, Yakima Canutt, Edward Peil, Anita Campillo, Lafe McKee, George Cleveland, Earl Dwire, George F. Hayes",,,1934,13+,56,min,Western,"a rambling cowboy becomes an undercover deputy, entering a rodeo to find out why the potential winners keep getting murdered.",34
as549,Movie,The Man From Cheyenne,Joseph Kane,"Roy Rogers, George ""Gabby"" Hayes, Lynne Carver, Sally Payne, Gale Storm, Jack Ingram, Sons of the Pioneers, William Haade, James Seay",,,1942,13+,53,min,Western,"government agent roy rogers is sent to investigate a rash of cattle thefts by a cattle rustling gang. roy catches rustlers who have been stealing government beef and terrorizing his town. what roy doesn't know is that the gang's mastermind is beautiful east coast socialite marian (carver), who uses her charm to get the times and locations of cattle drives from the ranchers she has seduced. marian tries to use all her feminine wiles against roy, who is immune to her advances, and works to squash the cattle rustlers.",3
as550,Movie,The Magic Lamp and the Moving Islands (Subbed),Shinpei Miyashita,"Tomo Muranaka, Momoko Tanabe, Nao Nagasawa, Tadashi Miyazawa, Yutaka Aoyama, Takeshi Kaga",,,2016,ALL,50,min,Anime,"sinbad and the crews of the bahr go out in search for the comrades of sana, the princess of a legendary sorcerer clan. while repairing a damaged ship after a heavy storm, sana feels the presence of the magic lamp. on the nearby island, they search for the lamp, but the hand of a demon intent on sana draws close. what is the magic lamp? 　where are sana’s comrades? the adventure continues!",54
as551,Movie,The Magic Lamp and the Moving Islands (Dubbed),Shinpei Miyashita,,,,2016,ALL,50,min,"Anime, Kids","sinbad and the crews of the bahr go out in search for the comrades of sana, the princess of a legendary sorcerer clan. while repairing a damaged ship after a heavy storm, sana feels the presence of the magic lamp. on the nearby island, they search for the lamp, but the hand of a demon intent on sana draws close. what is the magic lamp? 　where are sana’s comrades? the adventure continues!",2
as552,Movie,The Lucy Show - Vol. 2,Maury Thompson,"Lucille Ball, Vivian Vance, Gale Gordon, Jim Nabors, Mel Tormé, Claude Akins, Mary Jane Croft",,,2001,ALL,127,min,Comedy,"""the lucy show"" was the 3rd series which lucille ball used to dominate the monday tv line-up on cbs. like her earlier series, ""i love lucy,"" it ran six seasons, and stayed in the top 10 in the ratings for its entire run. enjoy 5 episodes: ""lucy & the ring-a-ding-ring"" - ""lucy gets caught up in the draft"" (jim nabors) - ""viv visits lucy"" - ""main street usa"" (mel tormé) - ""lucy meets the law""",52
as553,Movie,The Lucy Show - Vol. 1,Maury Thompson,"Lucille Ball, Carol Burnett, John Wayne, George Burns, Milton Berle, Vivian Vance, Gale Gordon",,,1999,7+,127,min,Comedy,"the lucy show was the 3rd series which lucille ball used to dominate the monday tv line-up on cbs. like her earlier series, i love lucy, it ran six seasons, and stayed in the top 10 in the ratings for its entire run. enjoy 5 episodes: lucy gets a roommate (carol burnett) - lucy & carol in palm springs (carol burnett) - lucy meets john wayne - lucy with george burns - lucy meets the berles.",92
as554,TV Show,The Lucy Show,,"Lucille Ball, Vivian Vance, Gale Gordon, Jimmy Garrett",,2021-03-30,1967,13+,3,Season,Comedy,"after her husband's death, lucy carmichael, and her recently divorced best friend, vivian bagley, move into a house together with their children. now on her own, the widow lucy she grapples with the comical complications of life, with her income being controlled by a grumpy banker named mr. mooney.",47
as555,TV Show,The Lowe Files,,"Matthew Edward Lowe, Owen John Lowe",,,2017,TV-PG,1,Season,"Documentary, Drama, Unscripted","the lowe files follows rob lowe and his two sons, matthew and john owen, as they travel through the country to explore infamous unsolved mysteries.",36
as556,Movie,The Long Walk Home,Richard Pearce,"Sissy Spacek, Whoopi Goldberg, Dwight Schultz",,,1990,13+,96,min,"Drama, Kids","one black and one white woman in 1955 montgomery, alabama must decide what they are going to do in response to the famous bus boycott lead by martin luther king.",86
